movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Life Is Hot in Cracktown,"Based on writer/director Buddy Giovinazzo's novel of the same name, Life Is Hot in Cracktown explores how crack cocaine infiltrated the streets of urban America by following the journeys of four people whose lives are on a tragic collision course. Pre-op transsexual Marybeth (Kerry Washington) is working as a prostitute in order to save enough money to make her transformation complete. She lives with her lover, Benny, a small-time burglar, whom she hopes to marry after her final operation. Meanwhile, Manny (Victor Rasuk) is busy pulling double shifts while his wife, Concetta (Shannyn Sossamon), cares for their sickly infant son in their run-down apartment. By night Manny works at a 24-hour bodega frequented by junkies, drug dealers, and prostitutes, and by day keeps the peace as a security guard at a welfare hotel. One of the residents at that hotel is Willy, a ten-year-old boy who lives with his mother (Illeana Douglas) and her abusive boyfriend. Willy begs for money on the street so he and Susie can get some fast food. But it's dangerous out there, because volatile gangster Romeo (Evan Ross) is still searching the streets for his brother's killer, and he won't hesitate to terrorize anyone unfortunate enough to cross his warpath. Lara Flynn Boyle, Brandon Routh, Desmond Harrington, and RZA co-star.",,R,Drama,Buddy Giovinazzo,Buddy Giovinazzo,"Kerry Washington, Victor Rasuk, Evan Ross, Brandon Routh, Shannyn Sossamon, Vondie Curtis-Hall, Illeana Douglas, Desmond Harrington, Lara Flynn Boyle, RZA, Thomas Ian Nicholas, Carly Pope, Stephanie Lugo, Maurice Blake, Omar Regan, Tony Plana, Melissa Wilfley, Ten Travis, Amber Elena Franklin, Marci Canipe, Ridge Canipe, Ariel Winter, Edoardo Ballerini, Richard Portnow, Shawn McGill, Zooka Jonathan Silva, Mark Webber, Jeremy West, Hope Olaide Wilson, Sara Pickett, Jeffrey Lorenzo, Quddus, Paul Mabon, Katija Pevec, Bryan Becker, Luke LaFontaine, Joseph Rye, James Saxenmeyer, Carmine Giovinazzo, Adriano Aragon, Jamie Rae, Pierson Blaetz",2009-06-26,2009-08-25,100.0,Lightning Media,Rotten,50,6,54.0,2144.0
Hunger,"The final months of Bobby Sands, the Irish Republican Army activist who protested his treatment at the hands of British prison guards with a hunger strike, are chronicled in this historical drama, the first feature film from artist-turned-filmmaker Steve McQueen. Davey Gillen (Brian Milligan) is an IRA volunteer who is sentenced to Belfast's infamous Maze prison, where he shares a cell with fellow IRA member Gerry Campbell (Liam McMahon). Like most of the IRA volunteers behind bars, Gillen and Campbell are subjected to frequent violence by the guards, who in turn live with the constant threat of assassination at the hands of Republicans during their off-hours. Campbell and Gillen are taking part in a protest in which they and their fellow IRA inmates are refusing to wear standard prison-issue uniforms as a protest against Britain's refusal to recognize them as political prisoners, a move that is complicating their efforts to pass information among the other prisoners. As the protest fails to get results, one IRA member behind bars, Bobby Sands (Michael Fassbender), decides to take a different tack and begins a hunger strike, refusing to eat until Irish officials are willing to acknowledge the IRA as a legitimate political organization. However, while Sands' protest gains the attention both inside prison walls and in the international news, not everyone believes what he's doing is right, and Sands finds himself verbally sparring with a priest (Liam Cunningham) who questions the ethics and effectiveness of the strike. Hunger received its world premiere at the 2008 Cannes Film Festival, where it was screened as part of the Un Certain Regard program. ~ Mark Deming, Rovi","Unflinching, uncompromising, vivid and vital, Steve McQueen's challenging debut is not for the faint hearted, but it's still a richly rewarding retelling of troubled times.",R,"Art House & International, Drama, Special Interest",Steve McQueen (III),"Enda Walsh, Steve McQueen (III)","Michael Fassbender, Liam Cunningham, Stuart Graham, Brian Milligan, Liam McMahon, Helena Bereen, Karen Hassan, Larry Cowan, Laine Megaw, Frank McCusker, Rory Mullen, Lalor Roddy",2008-12-05,2010-02-16,92.0,IFC Films,Certified Fresh,90,127,83.0,74257.0
Trial by Fire,"Trial by Fire is the true-life Texas story of the unlikely bond between an imprisoned death row inmate (Jack O'Connell) and a mother of two from Houston (Laura Dern) who, though facing staggering odds, fights mightily for his freedom. Cameron Todd Willingham, a poor, uneducated heavy metal devotee with a violent streak and a criminal record, is convicted of arson-related triple homicide in 1992. During his 12 years on death row, Elizabeth Gilbert, an improbable ally, uncovers questionable methods and illogical conclusions in his case, and battles with the state to expose suppressed evidence that could save him. Her efforts ultimately fail, and since Willingham's execution, the disturbing question remains: Did Texas execute an innocent man?","Trial by Fire has a worthy -- and heartbreaking -- story to tell, but this well-acted dramatization is undermined by its aggressively manipulative approach.",R,Drama,Edward Zwick,Geoffrey Fletcher,"Jack O'Connell, Laura Dern, Emily Meade, Jeff Perry",2019-05-17,2019-07-30,,Roadside Attractions,Fresh,61,66,73.0,63.0
Cats Don't Dance,A song-and-dance cat from Kokomo leads a musical animal revolution at a 1930s Hollywood studio in this miscalculated blend of parody and nostalgia from Turner Animation Features.,"Cats Don't Dance, but they should easily entertain all-ages audiences thanks to some colorful animation, sharp humor, and a catchy soundtrack.",G,"Animation, Kids & Family",Mark Dindal,"Theresa Pettengill, Cliff Ruby, Roberts Gannaway, Elana Lesser","Scott Bakula, Jasmine Guy, Natalie Cole, George Kennedy, John Rhys-Davies, Lindsay Rideway, Kathy Najimy, Ashley Peldon, Matthew Harried, Hal Holbrook, Rene Auberjonois, Betty Lou Gerson, Don Knotts, Mathew Herried, Lindsay Ridgeway, Frank Welker, David Johansen, Mark Dindal",1997-03-28,2002-09-03,75.0,Warner Bros. Pictures,Fresh,74,23,80.0,11149.0
Ransom,"Ron Howard directed this thriller which stars Mel Gibson as Tom Mullen, a former fighter pilot who built a ramshackle one-plane airline into a major multinational service fleet. Mullen has a multi-million dollar fortune, a beautiful wife, Kate (Rene Russo) and a nine-year-old son, Sean (Brawley Nolte) that he dotes on. However, Mullen's life comes crashing down around him when Sean is kidnapped. The FBI are called in, but Mullen is wary -- he was the recent target of an FBI investigation in which he was found to have bribed union officials while negotiating a contract. FBI Agent Hawkins (Delroy Lindo) advises Mullen to make the $2 million dollar drop to pay the kidnappers, which will make it easier to track the criminals, but when the tradeoff goes wrong, Mullen takes a new tactic -- he goes on television and offers a $2 million bounty for the heads of the people who kidnapped his child. Meanwhile, it becomes clear the kidnappers include Maris Connor (Lili Taylor), who once worked for the Mullens, and Jimmy Shaker (Gary Sinise), one of the cops who investigated Mullen for bribery. This remake of the 1956 Glenn Ford vehicle of the same name was scripted by Richard Price, who has a bit part as a police detective.","Directed with propulsive intensity by Ron Howard, Ransom is a fiery thriller packed with hot-blooded performances and jolting twists.",R,"Action & Adventure, Drama, Mystery & Suspense",Ron Howard,"Cyril Hume, Richard Price, Richard Maibaum, Alexander Ignon","Mel Gibson, Rene Russo, Gary Sinise, Delroy Lindo, Lili Taylor, Liev Schreiber, Evan Handler, Donnie Wahlberg, Brawley Nolte, Dan Hedaya, Paul Guilfoyle (II), Michael Gaston, José Zúñiga, Nancy Ticotin, Kevin Neil McCready, Allen Bernstein, Iraida Polanco, John Ortiz, Mike Hodge, Paul Geier, Louisa Marie, Edward Francis Joseph, A.J. Benza, Peter Anthony Tambakis, Tony Hoty, Daniel May Wong, John Short, Ed Jupp Jr., Stephen Oates, Gene Harrison, Mick O'Rourke, Henry Kingi Jr., Roy Farfel, Lex D. Geddings, Donna Hanover, Rosanna Scotto, Tony Potts, John 'Spike' Finnerty, Todd Hallowell, Joe Bacino, Carl S. Redding, James Georgiades, Christian Maelen, David Vadim, Addie O'Donnell, Judy Hudson, Mitzie Pratt, Lynne Redding, Michael Countryman, Chris Lopata, John Richard Hartmann, Anton Evangelista, Richard Price, Joseph Badalucco Jr., Dell Maara, Tommy Allen, John Dorish, Vincent Burns, Brad Brewer, Darren Brown, Marvin Brown, Glenn King, Cheryl Howard, James Ritz, Anna Marie Wieder, Joan D. Lowry, Craig ""Radioman"" Castaldo, Teodorina Bello, Jane Jenkins, Lori Tan Chinn, Carl Don, Nathaniel Freeman, Phil Parolisi, Rafael Osorio, Leslie Devlin, Lewis Dodley, John Brian Rogers, Jeffrey Kaufman, Mark Smith, Jim Whalen, Kim Snyder, Panicker Upendran",1996-11-08,2002-01-15,120.0,Touchstone Pictures,Certified Fresh,75,72,62.0,119880.0
Catch and Release,"After losing her husband in a tragic accident that occurred during his bachelor party, a would-be widow (Jennifer Garner) struggles to sort through the many secrets he kept from her as she adjusts to her new life. Erin Brockovich screenwriter Susannah Grant makes her directorial debut with a romantic comedy starring Juliette Lewis, Kevin Smith, and Timothy Olyphant.","A romantic dramedy with boring, stock characters and contrived situations.",PG-13,"Comedy, Drama, Romance",Susannah Grant,Susannah Grant,"Jennifer Garner, Timothy Olyphant, Sam Jaeger, Kevin Smith, Juliette Lewis, Tina Lifford, Fiona Shaw, Joshua Friesen, Georgia Craig, Sonja Bennett, Joyce Krenz, Christopher Redman, Yorgo Constantine, Daniel A. Parker, Daniel Parker, Nancy Hower, Darren Daurie, Jennifer Spence, Kyla Anderson, Leanna Nash, Wendy Noel, Leslie Mcmichael, Leslie McMichaels, Michael D. Adamthwaite, John B. Destry, Nancy Wetzel, Dillard Brinson, Sacha Levin, Terence Kelly, Gabrielle Rose",2007-01-26,2007-05-08,111.0,Sony Pictures Entertainment,Rotten,22,133,55.0,206144.0
Howling: Reborn,"The series spawned by Joe Dante's classic 1981 werewolf outing is resurrected with this Moonstone Entertainment production helmed and scripted by Joe Nimziki. ~ Jeremy Wheeler, Rovi",,R,Horror,Joe Nimziki,"Joe Nimziki, James Robert Johnston","Landon Liboiron, Lindsey Shaw, Ivana Milicevic, Jesse Rath, Niels Schneider, Frank Schorpion, Kristian Hodko, Sean Mercado, Sacha Charles, Erin Agostino, Mark Camacho, Cecile Cristobal, Adrian Burhop, Erica Deutschman",,2011-10-18,92.0,Anchor Bay Entertainment,Rotten,20,5,19.0,444.0
The Devil's Rock,"Set in the Channel Islands on the eve of D Day,two Kiwi commandos, sent to destroy German gun emplacements to distract Hitler's forces away from Normandy, discover a Nazi occult plot to unleash demonic forces to win the war.",,NR,"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy",Paul Campion,"Paul Campion, Paul Finch, Brett Ihaka","Matthew Sunderland, Craig Hall, Gina Varela, Karlos Drinkwater, Luke Hawker",2012-02-14,2012-02-13,82.0,Chameleon Pictures,Rotten,56,9,35.0,386.0
Summer Storm (Sommersturm),"Tobi and Achim have been best friends for years. As cox and oarsman, they have helped their team win several rowing cups in the past and are now looking forward to the big regatta in the countryside. But, this trip is no summer camp and the first problems soon arise. As Achim's relationship with his girlfriend grows more serious, Tobi starts to realize that his feelings for Achim run deeper than he's willing to admit to himself. He feels confused, unsure of himself and increasingly left out. When the much-anticipated Berlin girls' team is being replaced by a team of athletic, cliché-busting young gay men, Tobi and his teammates are suddenly forced to grapple with their prejudices, their fears, and, perhaps, their hidden longings. As the tension grows, Tobi, Achim and the others head toward a confrontation as fierce and ultimately as liberating as the summer storm gathering over the lake.",Strong performances and an inclusive approach to sexual awakening aren't enough to make Summer Storm a truly memorable coming-of-age story.,R,"Art House & International, Comedy, Drama, Romance, Sports & Fitness","Marco Kreupainter, Marco Kreuzpaintner","Marco Kreuzpaintner, Thomas Bahmann, Tom Bahmann","Robert Stadlober, Kostja Ullmann, Alicja Bachleda-Curus, Tristano Casanova, Miriam Morgenstern, Marlon Kittel, Hanno Koffler, Hanno Koffer, Jürgen Tonkel, Alexa Maria Surholt, Jeff Fischer, Joseph M'Barek, Michael Wiesner, Benjamin Vilzmann, Elisabeth Hart, Laura Maire, Roman Storm, Tobias Vandieken",2006-03-17,2006-09-05,98.0,Regent Releasing,Rotten,47,32,78.0,6910.0
The Bodyguard (Kaavalan),"When it comes to being punctual and doing his duties perfectly, Lovely Singh is unmatchable. Taking great pride in what he does, he spares no effort in giving his everything to his profession. Summoned for an assignment of guarding Divya, the daughter of Sartaj Rana, a business tycoon, Lovely Singh accompanies her to her campus, but ends up rubbing her the wrong way with his over-protective nature and paranoia about security. She finds him to be a major obstacle in leading a regular campus life. To throw him off-track and get him out of the way, she comes up with a 'master-plan'- that of trapping him in a fake love affair. -- (C) Reliance",,NR,"Action & Adventure, Drama, Romance",Siddique,"Siddique, Kiran Kotrial, J.P. Chowksey","Salman Khan, Kareena Kapoor, Raj Babbar, Hazel Keech, Reema Debnath, Asrani, Mahesh Manjrekar, Sharat Saxena, Vidya Sinha, Katrina Kaif, Aditya Pancholi, Karisma Kapoor, Rajat Rawail",2011-08-31,2011-12-26,155.0,Reliance Big Pictures,Rotten,33,6,44.0,1264.0
The Devil and Max Devlin,"The title character, a nasty landlord (Elliott Gould), is killed in a car accident and descends into hell. There he meets the Devil (Bill Cosby), who promises him his life back if he can find three people willing to sell their souls in three months.",,PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Steven Hilliard Stern,Mary Rodgers,"Bill Cosby, Elliott Gould, Susan Anspach, Adam Rich, Sonny Schroyer, Julie Budd, David Knell, Charles Shamata, Sonny Shroyer, Chuck Shamata, Deborah Baltzell, Ronnie Schell, Jeannie Wilson, Stanley Brock, Ted Ziegler, Vic Dunlop, Reggie Nalder, Lillian Muller, Julie Parrish, Sally K. Marr, Madelyn Cates, Helen Winston, Susan Tolsky, Stu Gilliam, Denise Du Barry, Vernon Weddle, Ruth Manning, Ernest Harada, Bill Saito, Joseph Burke, Tak Kubota, Army Archerd, Chip Courtland, Mark Andrews, Tracie Savage, Sheila Rogers, Peter Renaday, Roger Price, Mindy Sterling, Richard Lasting, Richard Crystal, Steve Eastin, James Almanzar, Nick Angotti, Jackie Russell, Gary Morgan, Ted Noose, Robert V. Barron, Wally K. Berns",,2006-01-17,96.0,Buena Vista,Rotten,18,11,24.0,1594.0
The Madwoman of Chaillot,"Adapted from the play La Folle de Chaillot by Jean Giraudoux, Madwoman of Chaillot focuses on a plot to drill for oil in Paris. Countess Aurelia (Katharine Hepburn) uncovers the plan and decides to trap the perpetrators by announcing she has discovered oil herself.",,G,"Comedy, Drama",Bryan Forbes,"Edward Anhalt, Jean Giraudoux","Katharine Hepburn, Yul Brynner, Danny Kaye, Richard Chamberlain, Charles Boyer, Claude Dauphin, Edith Evans, John Gavin, Paul Henreid, Oscar Homolka, Margaret Leighton, Giulietta Masina, Nanette Newman, Donald Pleasence, Fernand Gravey, Gordon Heath, Gerald Sim, Jacques Marin, Manuella von Oppen, Gilles Ségal, Gaston Palmer, Henri Virlojeux, Joellina Smalda, Henri Virjoleux, Harriett Ariel, Catherine Berg, Henri Cogan, Jackie Farley, George Hilsdon, Christian Duvaleix, Sabine Lods, Bernard Woringer",1969-11-21,1992-05-06,132.0,WARNER BROTHERS PICTURES,Rotten,20,5,49.0,283.0
12 Angry Men (Twelve Angry Men),"A Puerto Rican youth is on trial for murder, accused of knifing his father to death. The twelve jurors retire to the jury room, having been admonished that the defendant is innocent until proven guilty beyond a reasonable doubt. Eleven of the jurors vote for conviction, each for reasons of his own. The sole holdout is Juror #8, played by Henry Fonda. As Fonda persuades the weary jurors to re-examine the evidence, we learn the backstory of each man. Juror #3 (Lee J. Cobb), a bullying self-made man, has estranged himself from his own son. Juror #7 (Jack Warden) has an ingrained mistrust of foreigners; so, to a lesser extent, does Juror #6 (Edward Binns). Jurors #10 (Ed Begley) and #11 (George Voskovec), so certain of the infallibility of the Law, assume that if the boy was arrested, he must be guilty. Juror #4 (E.G. Marshall) is an advocate of dispassionate deductive reasoning. Juror #5 (Jack Klugman), like the defendant a product of ""the streets,"" hopes that his guilty vote will distance himself from his past. Juror #12 (Robert Webber), an advertising man, doesn't understand anything that he can't package and market. And Jurors #1 (Martin Balsam), #2 (John Fiedler) and #9 (Joseph Sweeney), anxious not to make waves, ""go with the flow."" The excruciatingly hot day drags into an even hotter night; still, Fonda chips away at the guilty verdict, insisting that his fellow jurors bear in mind those words ""reasonable doubt."" A pet project of Henry Fonda's, Twelve Angry Men was his only foray into film production; the actor's partner in this venture was Reginald Rose, who wrote the 1954 television play on which the film was based. Carried over from the TV version was director Sidney Lumet, here making his feature-film debut. A flop when it first came out (surprisingly, since it cost almost nothing to make), Twelve Angry Men holds up beautifully when seen today. It was remade for television in 1997 by director William Friedkin with Jack Lemmon and George C. Scott. ~ Hal Erickson, Rovi","Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca",1957-04-13,2001-03-06,95.0,Criterion Collection,Certified Fresh,100,51,97.0,105000.0
Knowing,"A time capsule containing a cryptic message about the coming apocalypse sends a concerned father on a race to prevent the horrific events from unfolding as predicted in this sci-fi thriller directed by Alex Proyas (Dark City) and starring Nicolas Cage. 1958: As the dedication ceremony for a newly constructed elementary school gets under way, a time capsule containing student drawings of the future is buried on the grounds and scheduled to be unearthed on the school's 50th anniversary. Instead of submitting a drawing, however, one little girl scribbles a series of seemingly random numbers on her paper before it is buried. Fifty years later, the time capsule is unearthed for a new generation of students to examine. Young Caleb Koestler (Chandler Canterbury) is one of those students. The mysterious sequence of numbers falling into his possession, Caleb takes the paper to his father, Professor John Koestler (Cage), for examination. Studying the numbers, Professor Koestler soon discovers that they aren't random at all, but an encoded message containing the precise dates, death tolls, and coordinates of every major disaster since the time capsule was buried. Not only that, but the document also indicates that there will be three more such events, the last of which indicates a doomsday scenario that appears directly tied to Professor Koestler and Caleb. His desperate plea to authorities falling on deaf ears, Professor Koestler realizes that his only hope for preventing more lives from being lost is to take personal action. Though the author of the prophecies is no longer living, Professor Koestler is eventually able to track down her daughter Diana Wayland (Rose Byrne), and granddaughter Abby, who reluctantly agree to aid in the investigation. As the final date on the list draws near, Professor Koestler enters into a frantic race against time to prevent destruction on a global scale, in the process realizing that in order to save millions of lives, he may have to make the ultimate sacrifice. ~ Jason Buchanan, Rovi","Knowing has some interesting ideas and a couple good scenes, but it's weighted down by its absurd plot and over-seriousness.",PG-13,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Alex Proyas,"Alex Proyas, Juliet Snowden, Stiles White, Ryne Douglas Pearson, Stuart Hazeldine","Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson, Ben Mendelsohn, Adrienne Pickering, Nadia Townsend, Alethea McGrath, Marc Lawrence, Danielle Carter, Alan Hopgood, D.G. Maloney, Joshua Long Gone, David Lennie, Tamara Donnellan, Travis Waite, Gareth Yuen, Lesley-Anne Mitchell, Liam Hemsworth, Raymond Anthony Thomas, Carolyn Shakespeare-Allen, Joanna Hunt-Prokhovnik, Jake Bradley, Jean-Michael Tan, Rody Claude, Nathaniel Kiwi, Blair Venn, Alyssa McClelland, Ra Chapman, Benita Collings, Verity Charlton",2009-03-20,2009-07-07,121.0,Summit Entertainment,Rotten,33,182,42.0,431605.0
Euphoria,"After years apart, two sisters meet up again to undertake a profound journey together.","While Euphoria's aims are admirable, it's musings on life and death are oddly hollow.",R,Drama,Lisa Langseth,Lisa Langseth,"Alicia Vikander, Eva Green, Charlotte Rampling, Charles Dance, Adrian Lester, Mark Stanley (VI)",2019-06-28,2019-06-28,98.0,Freestyle Releasing,Rotten,19,26,38.0,29.0
Verdict on Auschwitz: The Frankfurt Trial 1963-1965,"Filmmakers Rolf Bickel and Dietrich Wager draw on over 430 hours of original audiotapes to present an unparalleled look at the investigation, trial procedures, and verdict of one of the most important court cases in German history. Over the course of twenty grueling months, the German court would hear the testimonies of 360 witnesses from nineteen countries (including 211 Auschwitz survivors), against twenty-two people who stood accused of orchestrating one of the largest acts of genocide in recorded human history. With survivors of Auschwitz confronting perpetrators they hadn't seen in two decades and nearly two years of testimonies, this historic trial is sure to appeal to law scholars and history scholars alike.","Using audiotapes from the Auschwitz Trail, intermixed with archival footage and photographs, Verdict on Auschwitz is an illuminating historical document and a damning indictment of the people who perpetuated those horrors.",NR,"Art House & International, Documentary, Special Interest","Rolf Bickel, Dietrich Wagner","Rolf Bickel, Dietrich Wagner","Herman Langbein, Joachim Kugler, Dr. Fritz Baueur, Edgar M. Boehlke",2007-01-12,2007-04-17,180.0,First Run Features,Fresh,100,18,83.0,138.0
The World Is Not Enough,"James Bond, the world's greatest secret agent, is sent once more into the breach in the name of Queen, Country, and a dry martini. In the 19th Bond adventure, 007 (Pierce Brosnan) must resolve a potentially deadly power struggle between two unstable nations, with control of the world's oil supply as the ultimate prize. Bond is assigned as bodyguard to Elektra King (Sophie Marceau), the daughter of a petroleum magnate who was brutally murdered, and is trying to foil the fiendish plot of Renard (Robert Carlyle), a villain who was shot in the head with an unusual result: he cannot feel physical pain, an apparent failing that proves to be a considerable asset. Denise Richards appears as Dr. Christmas Jones, an expert on nuclear weapons, alongside Desmond Llewelyn as Q, Judi Dench as M, Samantha Bond as Miss Moneypenny, and John Cleese as R. Alternative rock band Garbage performs the theme song. ~ Mark Deming, Rovi","Plagued by mediocre writing, uneven acting, and a fairly by-the-numbers plot, The World Is Not Enough is partially saved by some entertaining and truly Bond-worthy action sequences.",PG-13,"Action & Adventure, Mystery & Suspense",Michael Apted,"Bruce Feirstein, Robert Wade, Dana Stevens, Neal Purvis","Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards, Judi Dench, Michael Kitchen, John Cleese, Desmond Llewelyn, Robbie Coltrane, Samantha Bond, Colin Salmon, Goldie, David Calder, Serena Scott, Serena Scott Thomas, Ulrich Thomsen, John Seru, Claude-Oliver Rudolph, Patrick Malahide, Omid Djalili, Jeff Nuttall, Diran Meghreblian, Maria Grazia Cucinotta, John Albasiny, Patrick Romer, Jimmy Roussounis, Justus von Dohnányi, Hassani Shapi, Carl McCrystal, Martyn Lewis, Kourosh Asad, Daisy Beaumont, Nina Muschallik, Daz Crawford, Peter Mehtab",1999-11-19,2000-05-16,125.0,United Artists,Rotten,52,139,49.0,210189.0
Detention,"An apocalyptic fantasy, horror, science fiction, action- thriller, body swapping, time-traveling teen romantic comedy starring Josh Hutcherson, Dane Cook and Shanley Caswell, Detention follows the local students of Grizzly Lake as they survive their final year of high school. Bringing even more angst to student life, a slasher killer has chosen their high school as his new home of slaughter. It becomes a race against time to stop the killer, which will in turn save the world - if only they can get out of detention. -- (C) Sony Pictures",,R,"Comedy, Horror",Joseph Kahn,"Joseph Kahn, Mark Palermo","Josh Hutcherson, Shanley Caswell, Spencer Locke, Julianna Alibrando, Aaron David Johnson, Ivy Bregman, Dane Cook, Alison Brooks, Walter Perez, Lisa Cumming, Erica Shaffer, Parker Bagley, Alison Woods, Logan Stalarow, Julie Dolan, Daniel Negreanu, Will Wallace, Joshua Breeding, Mario García, Jesse Heiman, Joe Keane, Percy Daggs III, Mason Richardson, Mike Esperanza, Lindsey Morgan, J.R. Osbourne, Jonathan Park, Tiffany Boone, Sophia Zach, Yves Bright, James Black, Jessica Lee, Travis Fleetwood, Ilana Cohn, Harry Shelley, Amanda Leatherman, Tammy Minoff, Carrie Wiita, Eliot Bitting, Richard Brake, Nicolai Dorian, Bobbie Knockers, Ryan Heinke, Brian Guest, Patrick Babbitt, Franck Jean Elie, Bryan East, Jeff Olen, Yimmy Yim, Jay Brian Winnick, Tyler Sean Palmer, Aaron Albert, John Reha, Pierangelo Buonamici, Aaron Perilo, Alison Paige, Matthew Albrecht, Brooke Haven, Clayton Reaser, Melanie Abramoff, Erich Lane, Arthur Darbinyan, Justin Smith, Alexandros S. Potter",2012-04-13,2012-07-31,93.0,IDP Distribution,Rotten,41,44,46.0,11352.0
Deep Blue,"This comprehensive presentation of images from the world's oceans, gathered over years of filming, plunges the audience into the spectacle of the seas. Viewers embark on a journey from the shallowest coral reefs to the barren shores of the Antarctic and from the vast stretches of the open ocean to the nocturnal landscapes of the ocean's deepest chasms.","Full of visually striking footage, Deep Blue may be too intense for younger viewers, but fans of nature documentaries will find much to enjoy.",G,"Documentary, Special Interest","Andy Byatt, Alastair Fothergill","Alastair Fothergill, Andy Byatt, Tim Ecott","Pierce Brosnan, Michael Gambon",2005-06-17,2006-04-11,90.0,Miramax Flims,Fresh,67,52,80.0,4690.0
Verotika,"VEROTIKA, featuring a plot shrouded in secrecy and based on the output of Danzig's long-running, mature comic book publishing company Verotik-a compound of ""violence"" and ""erotic""-this feature film anthology is a realization of his lifelong love of comic books and the dark arts.",,NR,Horror,Glenn Danzig,Glenn Danzig,"Alice Haig, Ashley Wisdom, Kayden Kross, Natalia Borowsky, Rachel Alig, Scotch Hopkins, Sean Kanan",2019-06-25,2019-10-31,90.0,,Rotten,33,6,,
Colombiana,"In the action film Colombiana, Zoe Saldana plays Cataleya, a young woman who has grown up to be an assassin after witnessing the murder of her parents as a child. Turning herself into a professional killer and working for her uncle, she remains focused on her ultimate goal: to hunt down and get revenge on the mobster responsible for her parents' deaths. -- (C) Sony Pictures",Zoe Saldana has the chops but she's taken out by erratic and sloppy filmmaking.,PG-13,"Action & Adventure, Drama, Mystery & Suspense",Olivier Megaton,"Luc Besson, Robert Mark Kamen","Zoe Saldana, Lennie James, Michael Vartan, Cliff Curtis, Beto Benites, Jordi Molla, Jesse Borrego, Cynthia Addai-Robinson, Angel Garnica, Ofelia Medina, Callum Blue, Sam Douglas, Graham McTavish, Amandla Stenberg, Charles Maquignon, Affif Ben Badra, David Clarke, Billy Slaughter, Nikea Gamby-Turner, Andrea Helene, John McConnell, Sébastien Peres, Mark de Alessandro, Pablo Vinos Zelaya, Max Martini, Tony Dalton, Julian Sedgwick, Julien Muller, Guillermo Ríos, Luis Toscano, Javier Escobar, Michael Showers, Wesley John Cannon, Doug Rao, Reem Kherici, Julie Nicolet, Stephan Orsolani, Steve Herson, Richard Zeringue, Stephan Brodziak, William Raymond, Alfredo Gonzales, Alejandro Perrazza, Donald Marshall, Mylene Ava Pilutik, Silas Cooper, Ariane Brodie, Donagh Gordon, Benoit Lavelatte",2011-08-26,2011-12-20,108.0,Sony Pictures,Rotten,28,100,67.0,161955.0
